trial,val_mae,val_mse,status,param_learning_rate,param_weight_power,param_hidden_dims
1,0.30339858645484563,0.14860459736415318,success,1e-05,1.5,"[64, 64, 64]"
2,0.23896091041110812,0.09427090024664289,success,1e-05,1.5,"[64, 64]"
3,0.24783806715692794,0.09987642367680867,success,1e-05,1.5,"[128, 64, 32]"
4,0.2925722095228377,0.1406954668817066,success,1e-05,2.0,"[64, 64, 64]"
5,0.26644413315114523,0.1152445925843148,success,1e-05,2.0,"[64, 64]"
6,0.19903966713519322,0.06392883740010716,success,1e-05,2.0,"[128, 64, 32]"
7,0.35625622669855755,0.20654935850983575,success,1e-05,3.0,"[64, 64, 64]"
8,0.24030962302571252,0.09523924936850865,success,1e-05,3.0,"[64, 64]"
9,0.22410794950666882,0.08125137395801998,success,1e-05,3.0,"[128, 64, 32]"
10,0.007633071414948929,9.263077057160747e-05,success,5e-05,1.5,"[64, 64, 64]"
11,0.009938245949645838,0.00015277013153536245,success,5e-05,1.5,"[64, 64]"
12,0.006210676505274716,6.0826546922769575e-05,success,5e-05,1.5,"[128, 64, 32]"
13,0.010256615156928698,0.00016985815004556484,success,5e-05,2.0,"[64, 64, 64]"
14,0.010987691359505766,0.0001942819535976187,success,5e-05,2.0,"[64, 64]"
15,0.004073980408498929,2.7095774774872033e-05,success,5e-05,2.0,"[128, 64, 32]"
16,0.010079280029804934,0.0001605641577736519,success,5e-05,3.0,"[64, 64, 64]"
17,0.009273732435845193,0.00013666071061466245,success,5e-05,3.0,"[64, 64]"
18,0.004622484335587138,3.2680909238739074e-05,success,5e-05,3.0,"[128, 64, 32]"
19,0.010970983787306718,0.00016348745044697787,success,0.0001,1.5,"[64, 64, 64]"
20,0.011262123827778157,0.00017613923271364045,success,0.0001,1.5,"[64, 64]"
21,0.009882827045484668,0.0001410449279189509,success,0.0001,1.5,"[128, 64, 32]"
22,0.0017887997729260298,5.08819738613619e-06,success,0.0001,2.0,"[64, 64, 64]"
23,0.011679016364117464,0.00018353552773727903,success,0.0001,2.0,"[64, 64]"
24,0.0025414315584514824,1.059383928458417e-05,success,0.0001,2.0,"[128, 64, 32]"
25,0.011376769814108099,0.00018559243610417027,success,0.0001,3.0,"[64, 64, 64]"
26,0.010738683554033438,0.00015235128237344768,success,0.0001,3.0,"[64, 64]"
27,0.010061274593075117,0.00014058739907341078,success,0.0001,3.0,"[128, 64, 32]"
